floor,gender,time,comments
35,F,2022-11-04T03:03:58.631Z,"本啤依自己聽感稍加分類一下
https://sticker-assets.dcard.tw/images/a7a04bba-f545-4298-8544-1a185bf671af/orig.png

#搖滾類
https://open.spotify.com/track/6KhIdXJVEnOMzmbIhj1yxw?si=_GFnTP6aRK6djT9vs-IqMA&utm_source=copy-link
https://youtu.be/9GCnWndSD1s
https://youtu.be/qRCnF7SMufo
https://youtu.be/CBX8PVqsDfM
https://youtu.be/54IzcysChMs

#pop
這首蠻窩心的
https://youtu.be/8KhiikVXO0s

#抒情
https://youtu.be/GyrpNE9Vgh8
https://youtu.be/-hR_B08Axso
自己的小珍藏
https://youtu.be/OXQtCMrHVsQ

#可愛
https://youtu.be/9zcWeVzCLDo

#獨立/chill 
https://youtu.be/Tnp0DySxH7s
https://youtu.be/ikdxgMSdnkM
https://youtu.be/1nFImzIyYCw
https://youtu.be/fmh-htQkd3U
https://youtu.be/wrQIl2i5c9A
sax🎷讚讚
https://youtu.be/h9lpdkg_OfI
告白嫻靜
https://youtu.be/c79upw09pmk
https://youtu.be/bFAR3ieUiOo
（台語在popoj饒舌的部分👍👍👍
https://youtu.be/Qp15xW84Qnc

#雷鬼/rap
https://youtu.be/ui4nJWGvSYg"
36,F,2022-11-04T03:07:56.119Z,海岸乾杯、晨曦光廊
37,F,2022-11-04T03:31:15.236Z,鄭宜農😻😻
38,F,2022-11-04T03:41:31.604Z,"滅火器-長途夜車
鐵擊-時間列車
黃浩庭-小嘉（好像只有街聲才有的樣子（？）
烏流-沃雨的人demo"
39,F,2022-11-04T04:07:16.945Z,必順鄉村、海岸乾杯
40,M,2022-11-04T04:26:50.343Z,飛上天超讚
41,F,2022-11-04T04:36:48.979Z,滅火器 👍
42,F,2022-11-04T04:43:27.683Z,青虫！
43,M,2022-11-04T04:44:22.038Z,https://youtu.be/ppPs8y-HSzk
44,F,2022-11-04T04:49:19.375Z,"大推水源-風來吹
青虫-整張專輯都讚讚"
45,F,2022-11-04T05:08:33.799Z,忒修斯-駐水、悲歌、點敬妳/你的菸
46,F,2022-11-04T05:10:45.927Z,"WHY NOT - 無法度按捺
阿弟仔 - 心愛的歐兜賣
新寶島康樂隊 - 鼓聲若響
盪在空中 - 一大片的風景"
47,F,2022-11-04T05:25:33.318Z,"忒修斯

駐水
https://youtu.be/ijF5AWcgnDk
憨孫仔
https://youtu.be/wD11cgzEa4A
點敬妳/你的煙
https://youtu.be/x4WIGpn9mJc
悲歌
https://youtu.be/90feJevahvc
掠交替
https://youtu.be/DY3SO7Se0Bw"
48,F,2022-11-04T05:30:24.130Z,"裝咖人
血肉果汁ㄐ"
49,F,2022-11-04T05:37:31.787Z,"我喜歡隨性的 想你點煙 之前聽過現場一次❤

青虫
https://youtu.be/JGK5Z0h33NA

https://youtu.be/T0p8-7exhUg

https://youtu.be/NooGnlHRVdQ

這是我有天在 yt 廣告發現的覺得很順耳
影子計劃
https://youtu.be/asENVVLjAeo"
